epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6490346789360046,4.999999873689376e-06,1.3218032121658325,0.7235643267631531,1.0476229190826416
1,0.6600494980812073,4.999999873689376e-06,1.2761294841766357,0.7272277474403381,1.031139612197876
2,0.669121265411377,4.999999873689376e-06,1.246092438697815,0.72940593957901,1.017298936843872
3,0.6712376475334167,4.999999873689376e-06,1.2282103300094604,0.73292076587677,1.0074690580368042
4,0.6761757135391235,4.999999873689376e-06,1.2163865566253662,0.7364356517791748,1.0003516674041748
5,0.6822401285171509,4.999999873689376e-06,1.191585659980774,0.7370792031288147,0.9934371113777161
6,0.6846905946731567,4.999999873689376e-06,1.1840245723724365,0.7399010062217712,0.9886507987976074
7,0.685965359210968,4.999999873689376e-06,1.1669490337371826,0.7426237463951111,0.9823113679885864
8,0.6882425546646118,4.999999873689376e-06,1.161864995956421,0.7440099120140076,0.9760465621948242
9,0.6889603734016418,4.999999873689376e-06,1.159048318862915,0.7450494766235352,0.9706927537918091
10,0.6946782469749451,4.999999873689376e-06,1.1393548250198364,0.7470791935920715,0.9679574370384216
11,0.695767343044281,4.999999873689376e-06,1.1322150230407715,0.7481682896614075,0.9625662565231323
12,0.6959406137466431,4.999999873689376e-06,1.127808690071106,0.7491584420204163,0.9582937955856323
13,0.6988490223884583,4.999999873689376e-06,1.1159664392471313,0.750544548034668,0.9552087783813477
14,0.7020915746688843,4.999999873689376e-06,1.103742003440857,0.7507920861244202,0.9510655403137207
15,0.7047029733657837,4.999999873689376e-06,1.0962005853652954,0.7522772550582886,0.9463937878608704
16,0.7065098881721497,4.999999873689376e-06,1.0864194631576538,0.7532673478126526,0.9453583359718323
17,0.706386148929596,4.999999873689376e-06,1.0852549076080322,0.75351482629776,0.9414731860160828
18,0.708638608455658,4.999999873689376e-06,1.0714468955993652,0.7550989985466003,0.9400207996368408
19,0.7120049595832825,4.999999873689376e-06,1.068674921989441,0.7556930780410767,0.935872495174408
