epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6887500286102295,1.9999999949504854e-06,1.1526769399642944,0.7447524666786194,0.9774220585823059
1,0.6965594291687012,1.9999999949504854e-06,1.1268171072006226,0.7467326521873474,0.9680784940719604
2,0.698564350605011,1.9999999949504854e-06,1.1168781518936157,0.7491089105606079,0.9575633406639099
3,0.7004455327987671,1.9999999949504854e-06,1.1052346229553223,0.7514851689338684,0.9525652527809143
4,0.7035148739814758,1.9999999949504854e-06,1.0986647605895996,0.7525742650032043,0.948985755443573
5,0.706423282623291,1.9999999949504854e-06,1.0847628116607666,0.7538118958473206,0.9438672065734863
6,0.7092326879501343,1.9999999949504854e-06,1.0799572467803955,0.7550495266914368,0.9395692348480225
7,0.7101856470108032,1.9999999949504854e-06,1.0739777088165283,0.7561386227607727,0.9358646869659424
8,0.7107797265052795,1.9999999949504854e-06,1.068300724029541,0.7575742602348328,0.9318346977233887
9,0.7119059562683105,1.9999999949504854e-06,1.0635290145874023,0.7582178115844727,0.9288408160209656
10,0.7145668268203735,1.9999999949504854e-06,1.055977702140808,0.7590098977088928,0.9266968965530396
11,0.7149009704589844,1.9999999949504854e-06,1.0512363910675049,0.7601979970932007,0.9234138131141663
12,0.7160024642944336,1.9999999949504854e-06,1.044783592224121,0.7611880898475647,0.9181475043296814
13,0.717759907245636,1.9999999949504854e-06,1.0394887924194336,0.7614851593971252,0.9164384603500366
14,0.7194925546646118,1.9999999949504854e-06,1.034623622894287,0.7614356279373169,0.9136450886726379
15,0.7212623953819275,1.9999999949504854e-06,1.0243244171142578,0.762326717376709,0.9109807014465332
16,0.7220420837402344,1.9999999949504854e-06,1.0242228507995605,0.7625742554664612,0.909462571144104
17,0.7211757302284241,1.9999999949504854e-06,1.0228406190872192,0.7639108896255493,0.9074237942695618
18,0.7235519886016846,1.9999999949504854e-06,1.0162783861160278,0.7636633515357971,0.9059333205223083
19,0.7251856327056885,1.9999999949504854e-06,1.0065308809280396,0.7645049691200256,0.902692973613739
