epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.459628701210022,0.0010000000474974513,2.2033088207244873,0.6121782064437866,1.4765394926071167
1,0.5326361656188965,0.0010000000474974513,1.850872278213501,0.6316336393356323,1.4057881832122803
2,0.542450487613678,0.0010000000474974513,1.815948724746704,0.6395049691200256,1.36929190158844
3,0.5480198264122009,0.0010000000474974513,1.7944419384002686,0.6480693221092224,1.3465783596038818
4,0.5518069267272949,0.0010000000474974513,1.7855223417282104,0.6481683254241943,1.343198537826538
5,0.5522772073745728,0.0010000000474974513,1.7861284017562866,0.6506930589675903,1.346691370010376
6,0.552388608455658,0.0010000000474974513,1.791403889656067,0.6473762392997742,1.3426021337509155
7,0.5533292293548584,0.0010000000474974513,1.788910150527954,0.6490594148635864,1.3461179733276367
8,0.552425742149353,0.0010000000474974513,1.7934858798980713,0.6508415937423706,1.3400980234146118
9,0.5537995100021362,0.0010000000474974513,1.787879228591919,0.653861403465271,1.3320460319519043
10,0.5550000071525574,0.0010000000474974513,1.783180832862854,0.6516336798667908,1.3370229005813599
11,0.5542821884155273,0.0010000000474974513,1.790398359298706,0.6543564200401306,1.3345592021942139
12,0.5736633539199829,0.00020000000949949026,1.691428303718567,0.6655940413475037,1.2819594144821167
13,0.5788861513137817,0.00020000000949949026,1.655120849609375,0.6677722930908203,1.274289846420288
14,0.5830569267272949,0.00020000000949949026,1.6397522687911987,0.6686633825302124,1.2687252759933472
15,0.5842574238777161,0.00020000000949949026,1.6270736455917358,0.6691089272499084,1.2651420831680298
16,0.5844059586524963,0.00020000000949949026,1.6290560960769653,0.6689603924751282,1.2631328105926514
17,0.585037112236023,0.00020000000949949026,1.6223366260528564,0.6690099239349365,1.258327841758728
18,0.5866460204124451,0.00020000000949949026,1.6164731979370117,0.6689603924751282,1.2598501443862915
19,0.586064338684082,0.00020000000949949026,1.606100082397461,0.6696534752845764,1.256028652191162
20,0.58732670545578,0.00020000000949949026,1.6010545492172241,0.6708415746688843,1.2521603107452393
21,0.5882673263549805,0.00020000000949949026,1.5964922904968262,0.6719802021980286,1.2529791593551636
22,0.5918688178062439,0.00020000000949949026,1.5884441137313843,0.6720792055130005,1.2513538599014282
23,0.5898886322975159,0.00020000000949949026,1.592624306678772,0.6729207634925842,1.2481272220611572
24,0.5901980400085449,0.00020000000949949026,1.5903348922729492,0.6724752187728882,1.2486097812652588
25,0.5913861393928528,0.00020000000949949026,1.5869618654251099,0.6724257469177246,1.2480499744415283
26,0.595556914806366,4.0000002627493814e-05,1.565436601638794,0.6742079257965088,1.243670105934143
27,0.5963490009307861,4.0000002627493814e-05,1.56444251537323,0.6748020052909851,1.241742491722107
28,0.5973267555236816,4.0000002627493814e-05,1.560960054397583,0.6743564605712891,1.242227554321289
29,0.5963366627693176,4.0000002627493814e-05,1.5576599836349487,0.6747524738311768,1.2412431240081787
