epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4540470242500305,9.999999747378752e-06,2.2246999740600586,0.6561385989189148,1.3401893377304077
1,0.545247495174408,9.999999747378752e-06,1.7789174318313599,0.6696534752845764,1.2735706567764282
2,0.5693811774253845,9.999999747378752e-06,1.6559274196624756,0.6793564558029175,1.2292841672897339
3,0.5891584157943726,9.999999747378752e-06,1.5887449979782104,0.6868811845779419,1.1986902952194214
4,0.6012623906135559,9.999999747378752e-06,1.5283597707748413,0.6954455375671387,1.1723110675811768
5,0.6090099215507507,9.999999747378752e-06,1.4913932085037231,0.6996534466743469,1.1514438390731812
6,0.61506187915802,9.999999747378752e-06,1.463029384613037,0.7041088938713074,1.135878562927246
7,0.625853955745697,9.999999747378752e-06,1.4245479106903076,0.7070792317390442,1.120095133781433
8,0.6298143267631531,9.999999747378752e-06,1.406531572341919,0.710792064666748,1.1042221784591675
9,0.6355816721916199,9.999999747378752e-06,1.3855451345443726,0.7138118743896484,1.0914852619171143
10,0.6383663415908813,9.999999747378752e-06,1.364865779876709,0.7164851427078247,1.080539584159851
11,0.6450742483139038,9.999999747378752e-06,1.3435243368148804,0.7191089391708374,1.0693398714065552
12,0.6482177972793579,9.999999747378752e-06,1.3238605260849,0.7210891246795654,1.0604926347732544
13,0.6530569195747375,9.999999747378752e-06,1.311338186264038,0.7235148549079895,1.0500974655151367
14,0.6555074453353882,9.999999747378752e-06,1.2931628227233887,0.7265841364860535,1.0426031351089478
15,0.6615470051765442,9.999999747378752e-06,1.2760306596755981,0.7281683087348938,1.0327898263931274
16,0.6650866270065308,9.999999747378752e-06,1.2590587139129639,0.7320792078971863,1.0255249738693237
17,0.6650742292404175,9.999999747378752e-06,1.2571685314178467,0.7323267459869385,1.0201144218444824
18,0.6706064343452454,9.999999747378752e-06,1.2360255718231201,0.7338118553161621,1.0142476558685303
19,0.6742573976516724,9.999999747378752e-06,1.2225356101989746,0.7353465557098389,1.0074023008346558
